Judul,Penerbit,Link,Tanggal Published
"Profil Mojtaba, Putra Khamenei yang Jadi Pemimpin Tertinggi Baru Iran",Detik,https://news.detik.com/internasional/d-8390858/profil-mojtaba-putra-khamenei-yang-jadi-pemimpin-tertinggi-baru-iran,09 Maret 2026
Dunia Hari Ini: Mojtaba Khamenei Jadi Pemimpin Tertinggi Baru Iran,Detik,https://news.detik.com/abc-australia/d-8391157/dunia-hari-ini-mojtaba-khamenei-jadi-pemimpin-tertinggi-baru-iran,09 Maret 2026
Tentang Mojtaba Khamenei Pimpin Iran yang Bikin Trump Tak Senang,Detik,https://news.detik.com/internasional/d-8392223/tentang-mojtaba-khamenei-pimpin-iran-yang-bikin-trump-tak-senang,09 Maret 2026
"Daftar Properti Mojtaba Khamenei dari Inggris-Spanyol, Nilainya Rp 3,3 T",Detik,https://www.detik.com/properti/berita/d-8391468/daftar-properti-mojtaba-khamenei-dari-inggris-spanyol-nilainya-rp-3-3-t,09 Maret 2026
"Perang Timur Tengah, AS Perintahkan Staf Kedutaan Tinggalkan Arab Saudi!",Detik,https://news.detik.com/internasional/d-8391053/perang-timur-tengah-as-perintahkan-staf-kedutaan-tinggalkan-arab-saudi,09 Maret 2026
"Apartemen Mojtaba Khamenei 50 Meter dari Kedubes Israel, Harganya Rp 1 Triliun",Detik,https://www.detik.com/properti/berita/d-8391980/apartemen-mojtaba-khamenei-50-meter-dari-kedubes-israel-harganya-rp-1-triliun,09 Maret 2026
Apa Itu Supreme Leader di Iran dan Bedanya dengan Presiden?,Detik,https://news.detik.com/berita/d-8392094/apa-itu-supreme-leader-di-iran-dan-bedanya-dengan-presiden,09 Maret 2026
Kata Kedubes Iran di RI soal Mojtaba Khamenei Terpilih Jadi Pemimpin Tertinggi,Detik,https://news.detik.com/berita/d-8392083/kata-kedubes-iran-di-ri-soal-mojtaba-khamenei-terpilih-jadi-pemimpin-tertinggi,09 Maret 2026
Komentar Keras China untuk Pihak yang Mau Serang Motjaba Khamenei,Detik,https://www.detik.com/jabar/berita/d-8392093/komentar-keras-china-untuk-pihak-yang-mau-serang-motjaba-khamenei,09 Maret 2026
Pemimpin Tertinggi Iran Pengganti Khamenei Sudah Diputuskan,Detik,https://www.detik.com/jogja/berita/d-8390428/pemimpin-tertinggi-iran-pengganti-khamenei-sudah-diputuskan,08 Maret 2026
"Iran Tentukan Pengganti Khamenei, Nama Segera Diumumkan",Detik,https://www.detik.com/kalimantan/berita/d-8390442/iran-tentukan-pengganti-khamenei-nama-segera-diumumkan,08 Maret 2026
Iran Bersiap Umumkan Pemimpin Tertinggi Baru Pengganti Khamenei,Detik,https://news.detik.com/internasional/d-8390406/iran-bersiap-umumkan-pemimpin-tertinggi-baru-pengganti-khamenei,08 Maret 2026
Video Terpopuler Sepekan: Try Sutrisno Wafat-Pemimpin Tertinggi Iran Tewas,Detik,https://20.detik.com/detikupdate/20260308-260308001/video-terpopuler-sepekan-try-sutrisno-wafat-pemimpin-tertinggi-iran-tewas,08 Maret 2026
"Serangan Israel Sasar 5 Titik Fasilitas Minyak Iran, 4 Orang Tewas",Detik,https://news.detik.com/internasional/d-8390106/serangan-israel-sasar-5-titik-fasilitas-minyak-iran-4-orang-tewas,08 Maret 2026
"Israel Serang Depot Minyak Iran, Kebakaran Besar Landa Teheran",Detik,https://news.detik.com/internasional/d-8389967/israel-serang-depot-minyak-iran-kebakaran-besar-landa-teheran,08 Maret 2026
"Netanyahu Klaim Kuasai Wilayah Udara Iran, Sebut Segera Menangkan Perang",Detik,https://www.detik.com/sumut/berita/d-8389601/netanyahu-klaim-kuasai-wilayah-udara-iran-sebut-segera-menangkan-perang,08 Maret 2026
Iran Pastikan Respons Serangan yang Diluncurkan dari Negara Tetangga,Detik,https://news.detik.com/internasional/d-8390003/iran-pastikan-respons-serangan-yang-diluncurkan-dari-negara-tetangga,08 Maret 2026
"Netanyahu Sebut Segera Taklukan Iran, Klaim Sudah Kuasai Wilayah Udara",Detik,https://news.detik.com/internasional/d-8389556/netanyahu-sebut-segera-taklukan-iran-klaim-sudah-kuasai-wilayah-udara,08 Maret 2026
Dinamika Sikap Iran ke Negara Tetangga Imbas Perang Lawan Israel-AS,Detik,https://news.detik.com/internasional/d-8390562/dinamika-sikap-iran-ke-negara-tetangga-imbas-perang-lawan-israel-as,08 Maret 2026
Trump Tebar Ancaman Lagi ke Iran: Kematian Pasti,Detik,https://www.detik.com/jateng/berita/d-8389341/trump-tebar-ancaman-lagi-ke-iran-kematian-pasti,07 Maret 2026
Video: Iran Luncurkan Armada Drone Lumpuhkan Radar Israel,Detik,https://20.detik.com/detikupdate/20260306-260306092/video-iran-luncurkan-armada-drone-lumpuhkan-radar-israel,07 Maret 2026
Presiden Iran Teleponan dengan Putin Bahas Serangan AS-Israel,Detik,https://news.detik.com/internasional/d-8389134/presiden-iran-teleponan-dengan-putin-bahas-serangan-as-israel,07 Maret 2026
"Trump Peringatkan Akan Bombardir Iran Lagi, Bidik Target Baru",Detik,https://news.detik.com/internasional/d-8389234/trump-peringatkan-akan-bombardir-iran-lagi-bidik-target-baru,07 Maret 2026
Israel Hancurkan Bunker Milik Ali Khamenei di Iran,Detik,https://news.detik.com/internasional/d-8387942/israel-hancurkan-bunker-milik-ali-khamenei-di-iran,06 Maret 2026
Ali Khamenei Dimakamkan di Mashhad Setelah Gugur dalam Serangan AS-Israel,Detik,https://www.detik.com/bali/berita/d-8382993/ali-khamenei-dimakamkan-di-mashhad-setelah-gugur-dalam-serangan-as-israel,04 Maret 2026
Ali Khamenei Dimakamkan di Mashhad Setelah Gugur dalam Serangan AS-Israel,Detik,https://www.detik.com/bali/berita/d-8382993/ali-khamenei-dimakamkan-di-mashhad-setelah-gugur-dalam-serangan-as-israel,04 Maret 2026
"Jenazah Ali Khamenei Bakal Dimakamkan di Kota Suci Mashhad, Ada Upacara Besar",Detik,https://news.detik.com/internasional/d-8382979/jenazah-ali-khamenei-bakal-dimakamkan-di-kota-suci-mashhad-ada-upacara-besar,04 Maret 2026
Sederet Nama Calon Pemimpin Iran Penerus Ali Khamenei,Detik,https://www.detik.com/jabar/berita/d-8379072/sederet-nama-calon-pemimpin-iran-penerus-ali-khamenei,02 Maret 2026
Prediksi Pakar soal Sosok Penerus Ali Khamenei di Iran,Detik,https://news.detik.com/berita/d-8379108/prediksi-pakar-soal-sosok-penerus-ali-khamenei-di-iran,02 Maret 2026
