Judul,Penerbit,Kategori,Link,Tanggal Published
Iran Panggil Dubes Perancis Terkait Karikatur Tak Senonoh Ali Khamenei,Kompas,Global,https://www.kompas.com/global/read/2023/01/05/150000070/iran-panggil-dubes-perancis-terkait-karikatur-tak-senonoh-ali-khamenei,5 Januari 2023
[HOAKS] Pentagon Sebut Ali Khamenei Masih Hidup pada April 2026,Kompas,Cek Fakta,https://www.kompas.com/cekfakta/read/2026/04/22/111100582/-hoaks-pentagon-sebut-ali-khamenei-masih-hidup-pada-april-2026,22 April 2026
"Upacara Pemakaman Ali Khamenei Mulai Rabu Malam, Berlangsung 3 Hari",Kompas,Global,https://internasional.kompas.com/read/2026/03/04/142404070/upacara-pemakaman-ali-khamenei-mulai-rabu-malam-berlangsung-3-hari,4 Maret 2026
Apa Jadinya jika Iran Membalas Kematian Pemimpin Tertinggi Ali Khamenei?,Kompas,Tren,https://www.kompas.com/tren/read/2026/03/01/131905565/apa-jadinya-jika-iran-membalas-kematian-pemimpin-tertinggi-ali-khamenei,1 Maret 2026
"INFOGRAFIK: Hoaks, Sampul Majalah Forbes dengan Foto Ayatollah Ali Khamenei",Kompas,Cek Fakta,https://www.kompas.com/cekfakta/read/2024/04/25/110100982/infografik--hoaks-sampul-majalah-forbes-dengan-foto-ayatollah-ali,25 April 2024
"Twit Pemimpin Tertinggi Iran, Ali Khamenei Diblokir Twitter, Apa Isinya?",Kompas,Global,https://www.kompas.com/global/read/2021/01/09/215055570/twit-pemimpin-tertinggi-iran-ali-khamenei-diblokir-twitter-apa-isinya,9 Januari 2021
"Profil Ayatollah Ali Khamenei, Sosok Penting di Balik Pertahanan Tangguh Iran",Kompas,Global,https://internasional.kompas.com/read/2026/03/01/094422770/profil-ayatollah-ali-khamenei-sosok-penting-di-balik-pertahanan,1 Maret 2026
"Ali Larijani, Orang Kepercayaan Khamenei yang Kini Diyakini Memegang Kendali Iran",Kompas,Global,https://internasional.kompas.com/read/2026/03/01/105142370/ali-larijani-orang-kepercayaan-khamenei-yang-kini-diyakini-memegang,1 Maret 2026
"Penasihat Ali Khamenei Meninggal, Virus Corona di Iran Tembus 1.500 Kasus",Kompas,Tren,https://www.kompas.com/tren/read/2020/03/03/063000465/penasihat-ali-khamenei-meninggal-virus-corona-di-iran-tembus-1.500-kasus,3 Maret 2020
"Bayi di Kampar Diberi Nama Ali Khamenei, Kedubes Iran Datangi Keluarga",Kompas,Regional,https://regional.kompas.com/read/2026/04/08/134144678/bayi-di-kampar-diberi-nama-ali-khamenei-kedubes-iran-datangi-keluarga,8 April 2026
Ayatollah Ali Khamenei Bersumpah Akan Balas Serangan Israel-AS terhadap Iran,Kompas,Global,https://internasional.kompas.com/read/2024/11/02/174445070/ayatollah-ali-khamenei-bersumpahakan-balas-serangan-israel-as-terhadap,2 November 2024
"Pemimpin Tertinggi Ali Khamenei Tewas, Presiden Iran Pastikan Akan Luncurkan Balasan",Kompas,Tren,https://www.kompas.com/tren/read/2026/03/01/131132265/pemimpin-tertinggi-ali-khamenei-tewas-presiden-iran-pastikan-akan-luncurkan,1 Maret 2026
